iter	Passed	Remaining
403	8984	8806
404	9010	8788
405	9034	8767
406	9060	8748
407	9086	8729
408	9113	8712
409	9141	8695
410	9160	8670
411	9187	8652
412	9208	8629
413	9234	8609
414	9260	8590
415	9285	8571
416	9312	8553
417	9337	8533
418	9363	8513
419	9385	8491
420	9411	8472
421	9436	8452
422	9462	8433
423	9488	8414
424	9514	8395
425	9541	8376
426	9567	8357
427	9594	8339
428	9619	8318
429	9645	8299
430	9671	8280
431	9698	8261
432	9724	8241
433	9748	8220
434	9773	8200
435	9798	8180
436	9822	8159
437	9847	8139
438	9875	8120
439	9901	8101
440	9928	8082
441	9954	8062
442	9980	8042
443	10006	8023
444	10031	8002
445	10056	7982
446	10081	7961
447	10106	7940
448	10131	7919
449	10157	7900
450	10182	7879
451	10207	7858
452	10233	7838
453	10258	7817
454	10283	7797
455	10308	7776
456	10331	7754
457	10358	7734
458	10382	7713
459	10408	7693
460	10434	7672
461	10458	7651
462	10483	7630
463	10509	7610
464	10534	7589
465	10559	7568
466	10585	7548
467	10610	7527
468	10635	7506
469	10660	7485
470	10684	7463
471	10710	7442
472	10736	7422
473	10759	7400
474	10782	7377
475	10808	7357
476	10834	7336
477	10861	7316
478	10888	7296
479	10913	7275
480	10939	7254
481	10963	7232
482	10984	7209
483	11002	7183
484	11023	7159
485	11047	7137
486	11068	7113
487	11090	7090
488	11114	7068
489	11136	7045
490	11158	7022
491	11178	6998
492	11200	6974
493	11222	6951
494	11246	6929
495	11265	6904
496	11287	6881
497	11310	6859
498	11332	6835
499	11353	6812
500	11375	6789
501	11398	6766
502	11419	6742
503	11439	6718
504	11459	6693
505	11479	6669
506	11498	6645
507	11521	6622
508	11543	6599
509	11565	6576
510	11587	6553
511	11609	6530
512	11628	6505
513	11649	6481
514	11669	6457
515	11690	6434
516	11711	6410
517	11734	6388
518	11758	6366
519	11780	6343
520	11802	6320
521	11824	6297
522	11847	6274
523	11867	6250
524	11890	6228
525	11912	6205
526	11936	6183
527	11959	6161
528	11982	6138
529	12003	6114
530	12024	6091
531	12044	6067
532	12066	6044
533	12088	6021
534	12110	5998
535	12130	5974
536	12153	5952
537	12176	5929
538	12197	5906
539	12220	5883
540	12245	5862
541	12269	5840
542	12291	5817
543	12314	5794
544	12334	5771
545	12356	5748
546	12378	5725
547	12400	5702
548	12421	5679
549	12441	5655
550	12461	5631
551	12482	5608
552	12502	5584
553	12523	5560
554	12543	5537
555	12563	5513
556	12582	5489
557	12605	5466
558	12627	5444
559	12649	5421
560	12670	5398
561	12692	5375
562	12715	5352
563	12734	5328
564	12755	5305
565	12776	5282
566	12797	5259
567	12818	5235
568	12837	5211
569	12864	5191
570	12889	5169
571	12910	5146
572	12931	5122
573	12951	5099
574	12971	5075
575	12993	5053
576	13014	5029
577	13034	5006
578	13055	4983
579	13075	4959
580	13096	4936
581	13118	4913
582	13139	4890
583	13161	4868
584	13181	4844
585	13200	4820
586	13222	4797
587	13242	4774
588	13264	4751
589	13286	4729
590	13307	4705
591	13329	4683
592	13351	4660
593	13371	4637
594	13393	4614
595	13413	4591
596	13432	4567
597	13454	4544
598	13474	4521
599	13493	4497
600	13512	4474
601	13535	4451
602	13557	4429
603	13577	4406
604	13597	4382
