iter	Logloss
0	0.6804659299
1	0.6688482493
2	0.6578427365
3	0.6476866362
4	0.6380553238
5	0.6294181973
6	0.620837364
7	0.6130364473
8	0.6056000166
9	0.5985190769
10	0.5919889699
11	0.5858731359
12	0.5804439934
13	0.5749236993
14	0.5698971875
15	0.5651318439
16	0.560772276
17	0.5567073207
18	0.552682333
19	0.5493352851
20	0.5458164964
21	0.5426138413
22	0.5394305055
23	0.5366232645
24	0.5339477627
25	0.5315817957
26	0.5289953147
27	0.5268092784
28	0.5248196132
29	0.5228495666
30	0.521078075
31	0.519349624
32	0.5176870756
33	0.5160473403
34	0.5144847178
35	0.5129498755
36	0.5115717851
37	0.51039162
38	0.509068863
39	0.5079539021
40	0.5069295082
41	0.5059669573
42	0.5049829412
43	0.5039554002
44	0.5030575384
45	0.5021116902
46	0.5012966063
47	0.50042092
48	0.4996983495
49	0.4989422787
50	0.4982263084
51	0.4976015178
52	0.4970200077
53	0.4964340745
54	0.4959066453
55	0.4953465276
56	0.4948722847
57	0.4943501102
58	0.4938754734
59	0.493473249
60	0.4930370271
61	0.4927301026
62	0.4923332409
63	0.4919624617
64	0.491593149
65	0.4912040035
66	0.4908297703
67	0.4905524104
68	0.4902184099
69	0.4898784623
70	0.4895566938
71	0.4893012754
72	0.4890370383
73	0.4888115877
74	0.4886346074
75	0.4883927104
76	0.4881697325
77	0.4879094849
78	0.4877055831
79	0.4874886668
80	0.4872993837
81	0.4871384318
82	0.4869861514
83	0.4868184098
84	0.4866661568
85	0.4864752536
86	0.4862939279
87	0.4861341987
88	0.4859794034
89	0.4858510795
90	0.4857347295
91	0.4856439044
92	0.4855336861
93	0.4854097128
94	0.4853051949
95	0.4852158015
96	0.4850821614
97	0.4850019612
98	0.4848784802
99	0.4847703932
100	0.4846970892
101	0.4845652768
102	0.484497878
103	0.4843969073
104	0.4843040714
105	0.4842231792
106	0.4841358776
107	0.4840241002
108	0.4839364337
109	0.4838738677
110	0.4837966251
111	0.483705699
112	0.4836415582
113	0.4835660072
114	0.4835105546
115	0.4834634095
116	0.4833830008
117	0.4833206069
118	0.4832631292
119	0.4831603035
120	0.4831138616
121	0.4830619358
122	0.4830191591
123	0.4829592339
124	0.4828933406
125	0.4828497423
126	0.4827837731
127	0.4827215259
128	0.4826713669
129	0.4826257886
130	0.4825592565
131	0.4825264489
132	0.4824643794
133	0.4824054652
134	0.4823747185
135	0.4823350726
136	0.482308913
137	0.4822859523
138	0.4822640763
139	0.4822339903
140	0.482193626
141	0.4821326032
142	0.4821041973
143	0.4820625434
144	0.4820104258
145	0.4819722634
146	0.4819225227
147	0.481901897
148	0.4818616285
149	0.4818368187
150	0.4818019005
151	0.4817784897
152	0.4817610433
153	0.4817371379
154	0.4817219646
155	0.4816879678
156	0.4816719859
157	0.4816558393
158	0.4816336296
159	0.4816088029
160	0.4815901668
161	0.4815440099
162	0.4815270437
163	0.4815014007
164	0.4814734095
165	0.4814300649
166	0.4813845755
167	0.4813694671
168	0.4813498618
169	0.4813094888
170	0.4812857234
171	0.4812710429
172	0.4812398621
173	0.4812292198
174	0.4811851234
175	0.4811388795
176	0.4811296742
177	0.4811117568
178	0.4810897759
179	0.4810578461
180	0.4810341727
181	0.4810159318
182	0.4810017954
183	0.4809919858
184	0.4809721473
185	0.4809614299
186	0.4809504312
187	0.4809440426
188	0.4809303209
189	0.4809059799
190	0.4808832809
191	0.4808750631
192	0.4808626942
193	0.4808385337
194	0.4808244272
195	0.4807980166
196	0.4807793006
197	0.4807725007
198	0.4807657483
199	0.4807559097
200	0.4807416147
201	0.4807281322
202	0.4807090535
203	0.4807038686
204	0.4806782685
205	0.4806634245
206	0.4806566777
207	0.4806508666
208	0.4806387799
209	0.4806312208
210	0.480619284
211	0.4806096229
212	0.4806037277
213	0.4805938281
214	0.4805894247
215	0.480582351
216	0.4805756186
217	0.4805560326
218	0.4805476754
219	0.4805394895
220	0.4805316075
221	0.4805177896
222	0.4804984109
223	0.4804920891
224	0.4804884809
225	0.4804809889
226	0.4804762284
227	0.4804639813
228	0.4804530715
229	0.4804476781
230	0.4804402409
231	0.4804314108
232	0.4804263949
233	0.4804099782
234	0.4804093538
235	0.4803984014
236	0.4803935012
237	0.480377588
238	0.4803724866
239	0.4803684724
240	0.4803625697
241	0.4803469658
242	0.4803422134
243	0.4803375535
244	0.4803231739
245	0.4803035043
246	0.4802948
247	0.4802894781
248	0.4802842371
249	0.4802757497
250	0.4802688733
251	0.4802627827
252	0.4802474194
253	0.4802415919
254	0.4802351234
255	0.4802288461
256	0.4802202814
257	0.4802114217
258	0.4802043124
259	0.4802001576
260	0.4801767136
261	0.480161834
262	0.4801555562
263	0.4801512437
264	0.4801434378
265	0.4801422115
266	0.4801376694
267	0.480137177
268	0.4801232299
269	0.480115166
270	0.4801101164
271	0.480106753
272	0.4801039133
273	0.4800974468
274	0.4800866553
275	0.4800805795
276	0.4800778471
277	0.4800742932
278	0.4800718659
279	0.4800623532
280	0.4800593571
281	0.4800591589
282	0.4800553835
283	0.48004128
284	0.4800297002
285	0.4800249099
286	0.4800224326
287	0.4800160005
288	0.4800123729
289	0.4800091586
290	0.4800035187
291	0.4799978736
292	0.4799886693
293	0.4799847201
294	0.4799668752
295	0.4799671588
296	0.4799608955
297	0.4799567542
298	0.4799534302
299	0.4799479718
300	0.4799413621
301	0.4799357641
302	0.4799298595
303	0.4799248454
304	0.4799211379
305	0.4799185815
306	0.4799052146
307	0.4799008214
308	0.4798965344
309	0.4798927348
310	0.4798828432
311	0.4798768071
312	0.4798634956
313	0.4798601246
314	0.4798514609
315	0.4798441669
316	0.4798401992
317	0.4798379654
318	0.4798333098
319	0.4798241012
320	0.4798209231
321	0.4798150477
322	0.479812173
323	0.4798100424
324	0.4798002754
325	0.4797957221
326	0.479790192
327	0.4797872014
328	0.4797793211
329	0.47977671
330	0.4797725807
331	0.479766306
332	0.4797648073
333	0.4797589757
334	0.4797501132
335	0.4797461136
336	0.4797412184
337	0.4797383723
338	0.4797304952
339	0.4797250658
340	0.4797187044
341	0.4797172416
342	0.4797094832
343	0.4797059361
344	0.4797006466
345	0.4796970032
346	0.4796874257
347	0.4796836662
348	0.4796787387
349	0.4796678142
350	0.4796639252
351	0.4796600491
352	0.4796557513
353	0.4796459111
354	0.4796459858
355	0.4796429084
356	0.4796405593
357	0.4796394281
358	0.479632733
359	0.4796263949
360	0.4796197347
361	0.4796189697
362	0.4796069488
363	0.4796011983
364	0.4795982256
365	0.4795919215
366	0.4795900388
367	0.4795872884
368	0.479584981
369	0.4795794564
370	0.4795746789
371	0.4795742442
372	0.4795692769
373	0.4795657979
374	0.47956331
375	0.4795593417
376	0.479554966
377	0.4795529281
378	0.4795519801
379	0.4795516653
380	0.4795508169
381	0.4795489497
382	0.4795378514
383	0.4795332276
384	0.4795323743
