DIABETES,HIPERTENSION,death_rate,n,features,combo,OBESITY,COPD,ASTHMA,CARDIOVASCULAR,RENAL_CHRONIC,INMSUPR,TOBACCO,OTHER_DISEASE
,,0.30708661417322836,254,ASTHMA + RENAL_CHRONIC,1_1,,,1.0,,1.0,,,
,1.0,0.3069984683168504,52883,HIPERTENSION + OBESITY,1_0,0.0,,,,,,,
,1.0,0.30390243902439024,73800,HIPERTENSION + ASTHMA,1_0,,,0.0,,,,,
,,0.30202702702702705,4440,ASTHMA + INMSUPR,0_1,,,0.0,,,1.0,,
,,0.3019271948608137,467,INMSUPR + TOBACCO,1_1,,,,,,1.0,1.0,
,1.0,0.299230439212742,74588,HIPERTENSION + INMSUPR,1_0,,,,,,0.0,,
,1.0,0.29885793119142096,70311,HIPERTENSION + TOBACCO,1_0,,,,,,,0.0,
,1.0,0.2962547533718163,73106,HIPERTENSION + OTHER_DISEASE,1_0,,,,,,,,0.0
,1.0,0.2944759386121622,71089,HIPERTENSION + CARDIOVASCULAR,1_0,,,,0.0,,,,
,1.0,0.2943446841125589,73064,HIPERTENSION + COPD,1_0,,0.0,,,,,,
,,0.29368988974900306,4263,INMSUPR + TOBACCO,1_0,,,,,,1.0,0.0,
,,0.2881925013989927,3574,OBESITY + INMSUPR,0_1,0.0,,,,,1.0,,
,1.0,0.2881639302096283,23327,HIPERTENSION + OBESITY,1_1,1.0,,,,,,,
,,0.2880347746511096,4371,COPD + INMSUPR,0_1,,0.0,,,,1.0,,
,,0.286340206185567,3880,INMSUPR + OTHER_DISEASE,1_0,,,,,,1.0,,0.0
,1.0,0.28625609790485856,70926,HIPERTENSION + RENAL_CHRONIC,1_0,,,,,0.0,,,
,,0.2848101265822785,4266,CARDIOVASCULAR + INMSUPR,0_1,,,,0.0,,1.0,,
0.0,,0.28157474020783374,5004,DIABETES + CARDIOVASCULAR,0_1,,,,1.0,,,,
,,0.2815161839863714,2348,OBESITY + OTHER_DISEASE,1_1,1.0,,,,,,,1.0
,,0.28077753779697623,463,COPD + ASTHMA,1_1,,1.0,1.0,,,,,
,,0.27801268498942916,946,TOBACCO + OTHER_DISEASE,1_1,,,,,,,1.0,1.0
,,0.27166963630646684,9541,ASTHMA + OTHER_DISEASE,0_1,,,0.0,,,,,1.0
,,0.2715281234444997,4018,RENAL_CHRONIC + INMSUPR,0_1,,,,,0.0,1.0,,
1.0,0.0,0.26635514018691586,28676,DIABETES + HIPERTENSION,1_0,,,,,,,,
,,0.26560071063735285,9006,TOBACCO + OTHER_DISEASE,0_1,,,,,,,0.0,1.0
,,0.2622304050499737,7604,OBESITY + OTHER_DISEASE,0_1,0.0,,,,,,,1.0
,,0.26071193144363874,9102,INMSUPR + OTHER_DISEASE,0_1,,,,,,0.0,,1.0
,,0.2587434554973822,9550,COPD + OTHER_DISEASE,0_1,,0.0,,,,,,1.0
,,0.2572020951549542,9164,CARDIOVASCULAR + OTHER_DISEASE,0_1,,,,0.0,,,,1.0
,,0.25209092858674675,9326,RENAL_CHRONIC + OTHER_DISEASE,0_1,,,,,0.0,,,1.0
0.0,1.0,0.2432332392541526,43226,DIABETES + HIPERTENSION,0_1,,,,,,,,
,,0.24317617866004962,403,ASTHMA + CARDIOVASCULAR,1_1,,,1.0,1.0,,,,
,0.0,0.24292149292149293,3108,HIPERTENSION + INMSUPR,0_1,,,,,,1.0,,
,0.0,0.24135839902971498,3298,HIPERTENSION + CARDIOVASCULAR,0_1,,,,1.0,,,,
1.0,,0.2400461627236007,1733,DIABETES + ASTHMA,1_1,,,1.0,,,,,
0.0,,0.23413705583756345,3152,DIABETES + INMSUPR,0_1,,,,,,1.0,,
,1.0,0.21950207468879668,2410,HIPERTENSION + ASTHMA,1_1,,,1.0,,,,,
0.0,,0.21639173918690738,7699,DIABETES + OTHER_DISEASE,0_1,,,,,,,,1.0
,0.0,0.19801401869158877,6848,HIPERTENSION + OTHER_DISEASE,0_1,,,,,,,,1.0
,,0.1828625099342533,69205,OBESITY + ASTHMA,1_0,1.0,,0.0,,,,,
,,0.18209053035622338,64089,OBESITY + TOBACCO,1_0,1.0,,,,,,0.0,
,,0.1793103448275862,290,ASTHMA + INMSUPR,1_1,,,1.0,,,1.0,,
,,0.1790757200720072,71104,OBESITY + INMSUPR,1_0,1.0,,,,,0.0,,
,,0.1778664606934432,69912,OBESITY + OTHER_DISEASE,1_0,1.0,,,,,,,0.0
,,0.17586299853861323,70481,OBESITY + COPD,1_0,1.0,0.0,,,,,,
,,0.17451964263859993,8171,OBESITY + TOBACCO,1_1,1.0,,,,,,1.0,
,,0.17443632808006443,69544,OBESITY + CARDIOVASCULAR,1_0,1.0,,,0.0,,,,
