DIABETES,HIPERTENSION,OBESITY,death_rate,n,features,combo,COPD,ASTHMA,CARDIOVASCULAR,RENAL_CHRONIC,INMSUPR,TOBACCO,OTHER_DISEASE
,,0.0,0.4924078091106291,461,OBESITY + COPD + CARDIOVASCULAR,0_1_1,1.0,,1.0,,,,
,,,0.49171270718232046,543,COPD + CARDIOVASCULAR + TOBACCO,1_1_0,1.0,,1.0,,,0.0,
1.0,1.0,,0.48883374689826303,1612,DIABETES + HIPERTENSION + COPD,1_1_1,1.0,,,,,,
,,,0.48868778280542985,663,COPD + ASTHMA + CARDIOVASCULAR,1_0_1,1.0,0.0,1.0,,,,
0.0,,,0.4880952380952381,168,DIABETES + COPD + RENAL_CHRONIC,0_1_1,1.0,,,1.0,,,
1.0,,,0.48783783783783785,2220,DIABETES + COPD + ASTHMA,1_1_0,1.0,0.0,,,,,
,,1.0,0.4876623376623377,1540,OBESITY + ASTHMA + RENAL_CHRONIC,1_0_1,,0.0,,1.0,,,
1.0,,0.0,0.4870825456836799,1587,DIABETES + OBESITY + COPD,1_0_1,1.0,,,,,,
,,,0.48338368580060426,662,COPD + CARDIOVASCULAR + OTHER_DISEASE,1_1_0,1.0,,1.0,,,,0.0
,,1.0,0.48323615160349853,1372,OBESITY + RENAL_CHRONIC + TOBACCO,1_1_0,,,,1.0,,0.0,
,1.0,0.0,0.482741617357002,2028,HIPERTENSION + OBESITY + COPD,1_0_1,1.0,,,,,,
,,,0.48254931714719274,659,COPD + CARDIOVASCULAR + INMSUPR,1_1_0,1.0,,1.0,,0.0,,
1.0,,,0.4811320754716981,1908,DIABETES + COPD + TOBACCO,1_1_0,1.0,,,,,0.0,
,,1.0,0.4800275482093664,1452,OBESITY + RENAL_CHRONIC + INMSUPR,1_1_0,,,,1.0,0.0,,
,,1.0,0.47947327652982186,1291,OBESITY + CARDIOVASCULAR + RENAL_CHRONIC,1_0_1,,,0.0,1.0,,,
1.0,,,0.47925033467202144,2241,DIABETES + COPD + INMSUPR,1_1_0,1.0,,,,0.0,,
1.0,,,0.4780701754385965,456,DIABETES + RENAL_CHRONIC + TOBACCO,1_1_1,,,,1.0,,1.0,
,0.0,,0.47783251231527096,203,HIPERTENSION + COPD + CARDIOVASCULAR,0_1_1,1.0,,1.0,,,,
,,1.0,0.4775510204081633,1470,OBESITY + RENAL_CHRONIC + OTHER_DISEASE,1_1_0,,,,1.0,,,0.0
,,,0.4773662551440329,243,COPD + ASTHMA + INMSUPR,1_0_1,1.0,0.0,,,1.0,,
,1.0,,0.47697974217311234,543,HIPERTENSION + RENAL_CHRONIC + TOBACCO,1_1_1,,,,1.0,,1.0,
,,1.0,0.4754539340954943,1487,OBESITY + COPD + RENAL_CHRONIC,1_0_1,0.0,,,1.0,,,
,1.0,,0.4745410460685833,2887,HIPERTENSION + COPD + ASTHMA,1_1_0,1.0,0.0,,,,,
,,,0.47435897435897434,624,COPD + CARDIOVASCULAR + RENAL_CHRONIC,1_1_0,1.0,,1.0,0.0,,,
1.0,,,0.4739652870493992,2247,DIABETES + COPD + OTHER_DISEASE,1_1_0,1.0,,,,,,0.0
1.0,,,0.47355533790401566,2042,DIABETES + COPD + CARDIOVASCULAR,1_1_0,1.0,,0.0,,,,
,0.0,,0.4701492537313433,134,HIPERTENSION + COPD + OTHER_DISEASE,0_1_1,1.0,,,,,,1.0
1.0,1.0,,0.46846846846846846,1443,DIABETES + HIPERTENSION + OTHER_DISEASE,1_1_1,,,,,,,1.0
,1.0,,0.46791171477079796,2945,HIPERTENSION + COPD + INMSUPR,1_1_0,1.0,,,,0.0,,
,,,0.4662379421221865,622,ASTHMA + RENAL_CHRONIC + INMSUPR,0_1_1,,0.0,,1.0,1.0,,
0.0,,,0.4659498207885305,279,DIABETES + RENAL_CHRONIC + OTHER_DISEASE,0_1_1,,,,1.0,,,1.0
,,,0.46543778801843316,651,RENAL_CHRONIC + TOBACCO + OTHER_DISEASE,1_1_0,,,,1.0,,1.0,0.0
1.0,,,0.46524064171123,374,DIABETES + RENAL_CHRONIC + INMSUPR,1_1_1,,,,1.0,1.0,,
,1.0,,0.46505050505050505,2475,HIPERTENSION + COPD + TOBACCO,1_1_0,1.0,,,,,0.0,
,,,0.4650145772594752,686,ASTHMA + RENAL_CHRONIC + TOBACCO,0_1_1,,0.0,,1.0,,1.0,
,1.0,,0.4646622413119875,2561,HIPERTENSION + COPD + CARDIOVASCULAR,1_1_0,1.0,,0.0,,,,
1.0,,,0.46333489023820645,2141,DIABETES + COPD + RENAL_CHRONIC,1_1_0,1.0,,,0.0,,,
,1.0,,0.4621264767199444,2878,HIPERTENSION + COPD + OTHER_DISEASE,1_1_0,1.0,,,,,,0.0
,,,0.462015503875969,645,RENAL_CHRONIC + INMSUPR + TOBACCO,1_0_1,,,,1.0,0.0,1.0,
1.0,,0.0,0.4619960343688037,1513,DIABETES + OBESITY + OTHER_DISEASE,1_0_1,,,,,,,1.0
0.0,,,0.4609164420485175,371,DIABETES + COPD + CARDIOVASCULAR,0_1_1,1.0,,1.0,,,,
,1.0,,0.4527417027417027,2772,HIPERTENSION + COPD + RENAL_CHRONIC,1_1_0,1.0,,,0.0,,,
,,,0.4525790349417637,601,COPD + RENAL_CHRONIC + INMSUPR,0_1_1,0.0,,,1.0,1.0,,
1.0,,,0.4524033930254477,2122,DIABETES + ASTHMA + OTHER_DISEASE,1_0_1,,0.0,,,,,1.0
,1.0,,0.45149253731343286,268,HIPERTENSION + COPD + OTHER_DISEASE,1_1_1,1.0,,,,,,1.0
,,,0.450402144772118,373,ASTHMA + CARDIOVASCULAR + INMSUPR,0_1_1,,0.0,1.0,,1.0,,
,,,0.450334900954824,7017,ASTHMA + RENAL_CHRONIC + INMSUPR,0_1_0,,0.0,,1.0,0.0,,
,,,0.4503092190421401,6953,ASTHMA + RENAL_CHRONIC + TOBACCO,0_1_0,,0.0,,1.0,,0.0,
1.0,,,0.4500251130085384,1991,DIABETES + INMSUPR + OTHER_DISEASE,1_0_1,,,,,0.0,,1.0
,,0.0,0.4497907949790795,478,OBESITY + RENAL_CHRONIC + TOBACCO,0_1_1,,,,1.0,,1.0,
,,,0.4496527777777778,576,CARDIOVASCULAR + RENAL_CHRONIC + TOBACCO,0_1_1,,,0.0,1.0,,1.0,
,,,0.4495726495726496,585,RENAL_CHRONIC + INMSUPR + TOBACCO,1_1_0,,,,1.0,1.0,0.0,
,,0.0,0.44866920152091255,789,OBESITY + COPD + TOBACCO,0_1_1,1.0,,,,,1.0,
1.0,,,0.44844124700239807,417,DIABETES + COPD + CARDIOVASCULAR,1_1_1,1.0,,1.0,,,,
,,,0.4479804161566707,6536,RENAL_CHRONIC + INMSUPR + TOBACCO,1_0_0,,,,1.0,0.0,0.0,
,,,0.4477124183006536,612,COPD + RENAL_CHRONIC + TOBACCO,0_1_1,0.0,,,1.0,,1.0,
1.0,,,0.4471421345472939,1977,DIABETES + TOBACCO + OTHER_DISEASE,1_0_1,,,,,,0.0,1.0
,1.0,,0.44709388971684055,671,HIPERTENSION + COPD + TOBACCO,1_1_1,1.0,,,,,1.0,
,,,0.4467697907188353,1099,COPD + ASTHMA + TOBACCO,1_0_1,1.0,0.0,,,,1.0,
,1.0,,0.4461538461538462,585,HIPERTENSION + COPD + CARDIOVASCULAR,1_1_1,1.0,,1.0,,,,
,,,0.44601270289343686,7085,ASTHMA + RENAL_CHRONIC + OTHER_DISEASE,0_1_0,,0.0,,1.0,,,0.0
,,,0.4454871653325973,7246,COPD + ASTHMA + RENAL_CHRONIC,0_0_1,0.0,0.0,,1.0,,,
,,,0.4444444444444444,540,RENAL_CHRONIC + INMSUPR + OTHER_DISEASE,1_1_0,,,,1.0,1.0,,0.0
,,,0.44441172139596524,6791,ASTHMA + CARDIOVASCULAR + RENAL_CHRONIC,0_0_1,,0.0,0.0,1.0,,,
,,,0.4435855507655716,6727,RENAL_CHRONIC + INMSUPR + OTHER_DISEASE,1_0_0,,,,1.0,0.0,,0.0
1.0,,,0.44357366771159873,1914,DIABETES + CARDIOVASCULAR + OTHER_DISEASE,1_0_1,,,0.0,,,,1.0
,,,0.4431977559607293,6417,CARDIOVASCULAR + RENAL_CHRONIC + INMSUPR,0_1_0,,,0.0,1.0,0.0,,
,,,0.4429727740986019,6795,COPD + RENAL_CHRONIC + TOBACCO,0_1_0,0.0,,,1.0,,0.0,
,,0.0,0.44274809160305345,262,OBESITY + CARDIOVASCULAR + INMSUPR,0_1_1,,,1.0,,1.0,,
,,1.0,0.44266666666666665,375,OBESITY + CARDIOVASCULAR + RENAL_CHRONIC,1_1_1,,,1.0,1.0,,,
,,,0.44255069056714663,6806,COPD + RENAL_CHRONIC + INMSUPR,0_1_0,0.0,,,1.0,0.0,,
,,0.0,0.44253156255123793,6099,OBESITY + ASTHMA + RENAL_CHRONIC,0_0_1,,0.0,,1.0,,,
,,,0.4425278344048926,6377,CARDIOVASCULAR + RENAL_CHRONIC + TOBACCO,0_1_0,,,0.0,1.0,,0.0,
,1.0,0.0,0.442512077294686,2070,HIPERTENSION + OBESITY + OTHER_DISEASE,1_0_1,,,,,,,1.0
,,,0.44216417910447764,536,CARDIOVASCULAR + RENAL_CHRONIC + INMSUPR,0_1_1,,,0.0,1.0,1.0,,
,,,0.44150544135429265,6616,RENAL_CHRONIC + TOBACCO + OTHER_DISEASE,1_0_0,,,,1.0,,0.0,0.0
,,0.0,0.441438296386804,5729,OBESITY + RENAL_CHRONIC + INMSUPR,0_1_0,,,,1.0,0.0,,
1.0,,,0.44096031357177856,2041,DIABETES + COPD + OTHER_DISEASE,1_0_1,0.0,,,,,,1.0
,,0.0,0.43972864846060183,5749,OBESITY + RENAL_CHRONIC + TOBACCO,0_1_0,,,,1.0,,0.0,
1.0,,,0.438498957609451,1439,DIABETES + ASTHMA + INMSUPR,1_0_1,,0.0,,,1.0,,
1.0,1.0,,0.43847874720357943,894,DIABETES + HIPERTENSION + INMSUPR,1_1_1,,,,,1.0,,
,,,0.4378268448576409,6884,COPD + RENAL_CHRONIC + OTHER_DISEASE,0_1_0,0.0,,,1.0,,,0.0
,,,0.43718896094103454,6631,COPD + CARDIOVASCULAR + RENAL_CHRONIC,0_0_1,0.0,,0.0,1.0,,,
1.0,,1.0,0.4369266055045872,872,DIABETES + OBESITY + COPD,1_1_1,1.0,,,,,,
,,,0.4367975365665897,6495,CARDIOVASCULAR + RENAL_CHRONIC + OTHER_DISEASE,0_1_0,,,0.0,1.0,,,0.0
,,1.0,0.43575418994413406,179,OBESITY + COPD + RENAL_CHRONIC,1_1_1,1.0,,,1.0,,,
,,0.0,0.43530405405405403,5920,OBESITY + COPD + RENAL_CHRONIC,0_0_1,0.0,,,1.0,,,
,,0.0,0.43505261342073487,5797,OBESITY + RENAL_CHRONIC + OTHER_DISEASE,0_1_0,,,,1.0,,,0.0
,,0.0,0.43482868244436595,5662,OBESITY + CARDIOVASCULAR + RENAL_CHRONIC,0_0_1,,,0.0,1.0,,,
0.0,1.0,,0.4322033898305085,1534,DIABETES + HIPERTENSION + COPD,0_1_1,1.0,,,,,,
1.0,0.0,,0.43211334120425027,847,DIABETES + HIPERTENSION + COPD,1_0_1,1.0,,,,,,
,,,0.4316742081447964,1105,COPD + INMSUPR + TOBACCO,1_0_1,1.0,,,,0.0,1.0,
,,,0.43147208121827413,985,COPD + CARDIOVASCULAR + TOBACCO,1_0_1,1.0,,0.0,,,1.0,
,1.0,,0.43121149897330596,487,HIPERTENSION + RENAL_CHRONIC + INMSUPR,1_1_1,,,,1.0,1.0,,
,1.0,,0.43095806341629733,2933,HIPERTENSION + ASTHMA + OTHER_DISEASE,1_0_1,,0.0,,,,,1.0
